run_id,stimulus_cpu,probe_cpu,allocation,kind,pool_pages,candidate_items,target_candidate_items,search_groups,search_repetitions,baseline_repetitions,reduction_repetitions,reduction_validation_repetitions,measurement_repetitions,fill_rounds,scan_passes,trigger_threshold,stable_percent,item_sweep_first,item_sweep_last,bit_first,bit_last,attribution_cross_only_bits,color_bit0,color_bit1,joint_rescue_mask,result_path,matrix_allocation_attempt
run01,2,3,1,attribution,329376,20,16,2000,20,1000,20,200,1000,1000,3,150,95,0,20,0,22,1,13,14,0x6000,/root/sf-rk3568-low23-threefig-full/run01_cpu2_to_cpu3_attribution.csv,
run01,2,3,2,color_matrix,329376,20,16,2000,20,1000,20,200,1000,1000,3,150,95,,,,,,13,14,,/root/sf-rk3568-low23-threefig-full/run01_cpu2_to_cpu3_matrix.csv,4
