stimulus_items,condition,allocations,median_latency,min_latency,max_latency,median_l1d_refill,min_l1d_refill,max_l1d_refill,median_tlb_refill,min_tlb_refill,max_tlb_refill,median_ll_miss,min_ll_miss,max_ll_miss,median_l1d_refill_events_per_window,min_l1d_refill_events_per_window,max_l1d_refill_events_per_window,median_tlb_refill_events_per_window,min_tlb_refill_events_per_window,max_tlb_refill_events_per_window,median_ll_miss_events_per_window,min_ll_miss_events_per_window,max_ll_miss_events_per_window
7,cross_baseline,5,31.0,31.0,32.0,19.7,9.7,25.8,0.0,0.0,0.0,0.0,0.0,0.4,0.197,0.097,0.258,0.0,0.0,0.0,0.0,0.0,0.004
8,same_candidate,5,271.0,268.0,274.0,93.2,90.8,94.9,0.0,0.0,0.0,92.7,90.6,94.0,0.945,0.92,1.114,0.0,0.0,0.0,0.935,0.909,0.943
8,same_baseline,5,48.0,48.0,49.0,0.2,0.1,6.0,0.0,0.0,0.0,0.1,0.1,0.3,0.002,0.001,0.06,0.0,0.0,0.0,0.001,0.001,0.003
8,cross_candidate,5,31.0,31.0,31.0,24.4,10.0,36.0,0.0,0.0,0.0,0.1,0.0,0.1,0.244,0.1,0.36,0.0,0.0,0.0,0.001,0.0,0.001
8,cross_baseline,5,38.0,37.0,38.0,38.8,21.3,54.9,0.0,0.0,0.0,0.1,0.1,0.1,0.388,0.213,0.549,0.0,0.0,0.0,0.002,0.001,0.003
9,same_candidate,5,247.0,236.0,254.0,86.0,80.3,90.1,0.0,0.0,0.0,83.1,79.0,84.9,0.87,0.825,1.148,0.0,0.0,0.0,0.838,0.791,0.853
9,same_baseline,5,49.0,49.0,50.0,0.8,0.1,6.7,0.0,0.0,0.0,0.2,0.1,0.3,0.008,0.001,0.067,0.0,0.0,0.0,0.002,0.001,0.003
9,cross_candidate,5,32.0,31.0,32.0,27.8,13.6,40.6,0.0,0.0,0.0,0.0,0.0,0.1,0.278,0.136,0.406,0.0,0.0,0.0,0.0,0.0,0.001
9,cross_baseline,5,40.0,40.0,42.0,43.4,24.6,60.7,0.0,0.0,0.0,0.2,0.1,0.3,0.434,0.246,0.607,0.0,0.0,0.0,0.004,0.002,0.005
10,same_candidate,5,242.0,233.0,247.0,83.9,78.9,90.2,0.0,0.0,0.0,81.3,76.6,81.7,0.862,0.821,1.212,0.0,0.0,0.0,0.816,0.768,0.819
10,same_baseline,5,49.0,49.0,50.0,0.7,0.3,8.4,0.0,0.0,0.0,0.2,0.1,0.5,0.007,0.003,0.084,0.0,0.0,0.0,0.003,0.001,0.005
10,cross_candidate,5,32.0,32.0,35.0,30.3,13.4,39.0,0.0,0.0,0.0,0.1,0.0,1.6,0.303,0.134,0.39,0.0,0.0,0.0,0.001,0.0,0.016
10,cross_baseline,5,42.0,41.0,43.0,45.6,25.3,72.3,0.0,0.0,0.0,0.1,0.0,0.2,0.456,0.253,0.723,0.0,0.0,0.0,0.003,0.0,0.004
11,same_candidate,5,250.0,249.0,255.0,87.6,87.2,94.9,0.0,0.0,0.0,85.7,84.2,87.5,0.902,0.887,1.291,0.0,0.0,0.0,0.857,0.844,0.878
11,same_baseline,5,50.0,50.0,50.0,0.9,0.5,10.6,0.0,0.0,0.0,0.1,0.1,0.7,0.009,0.005,0.106,0.0,0.0,0.0,0.002,0.001,0.007
11,cross_candidate,5,32.0,32.0,41.0,30.7,14.8,44.0,0.0,0.0,0.0,0.1,0.0,3.5,0.307,0.148,0.44,0.0,0.0,0.0,0.004,0.0,0.038
11,cross_baseline,5,42.0,42.0,42.0,44.4,25.7,66.3,0.0,0.0,0.0,0.2,0.0,0.3,0.444,0.257,0.663,0.0,0.0,0.0,0.002,0.0,0.004
12,same_candidate,5,288.0,274.0,299.0,95.8,93.5,98.3,100.0,100.0,100.0,92.7,92.0,96.6,1.002,0.952,1.335,1.508,1.167,1.667,0.933,0.926,0.972
12,same_baseline,5,55.0,55.0,63.0,1.1,0.8,12.3,100.0,100.0,100.0,0.2,0.1,1.0,0.011,0.008,0.123,1.484,1.43,1.573,0.002,0.001,0.01
12,cross_candidate,5,32.0,31.0,38.0,33.1,15.5,44.6,0.0,0.0,0.0,0.0,0.0,2.4,0.331,0.155,0.446,0.0,0.0,0.0,0.0,0.0,0.024
12,cross_baseline,5,42.0,41.0,43.0,45.2,27.0,65.2,0.0,0.0,0.0,0.1,0.1,0.3,0.452,0.27,0.652,0.0,0.0,0.0,0.002,0.002,0.003
13,same_candidate,5,345.0,328.0,351.0,99.4,99.2,99.5,100.0,100.0,100.0,99.0,98.6,99.3,1.033,1.008,1.38,2.053,2.039,2.059,0.998,0.993,1.034
13,same_baseline,5,69.0,62.0,86.0,1.0,0.5,11.5,100.0,100.0,100.0,0.4,0.2,4.1,0.01,0.005,0.115,2.064,2.043,2.166,0.004,0.002,0.041
13,cross_candidate,5,33.0,32.0,55.0,36.1,17.1,42.6,0.0,0.0,0.0,0.2,0.0,9.3,0.361,0.172,0.465,0.0,0.0,0.0,0.002,0.0,0.093
13,cross_baseline,5,42.0,42.0,43.0,41.9,26.3,67.7,0.0,0.0,0.0,0.2,0.1,0.4,0.419,0.263,0.677,0.0,0.0,0.0,0.004,0.003,0.007
14,same_candidate,5,342.0,331.0,359.0,99.7,99.2,99.9,100.0,100.0,100.0,99.3,99.1,99.7,1.038,1.016,1.372,2.072,2.032,2.137,1.001,0.996,1.063
14,same_baseline,5,75.0,66.0,92.0,0.9,0.3,14.1,100.0,100.0,100.0,0.5,0.3,6.6,0.009,0.003,0.141,2.07,2.029,2.249,0.006,0.004,0.067
14,cross_candidate,5,73.0,35.0,164.0,45.4,39.2,71.6,0.0,0.0,0.0,16.0,0.8,55.1,0.468,0.408,0.878,0.0,0.0,0.0,0.16,0.008,0.552
14,cross_baseline,5,43.0,42.0,44.0,44.6,27.5,69.2,0.0,0.0,0.0,0.2,0.0,1.0,0.446,0.275,0.692,0.0,0.0,0.0,0.004,0.0,0.012
