platform,bit,variant,n_allocations,passes_per_allocation,median_run_mean_cycles,min_run_mean_cycles,max_run_mean_cycles
RK3568,7,probe_only_flipped,5,3,38.333333333333336,37.666666666666664,38.666666666666664
RK3568,8,probe_only_flipped,5,3,38.333333333333336,38.333333333333336,39.333333333333336
RK3568,9,probe_only_flipped,5,3,38.666666666666664,37.666666666666664,38.666666666666664
RK3568,10,probe_only_flipped,5,3,38.666666666666664,38.0,39.333333333333336
RK3568,11,probe_only_flipped,5,3,41.333333333333336,39.333333333333336,42.333333333333336
RK3568,12,probe_only_flipped,5,3,38.333333333333336,38.0,38.333333333333336
RK3568,13,probe_only_flipped,5,3,37.666666666666664,36.333333333333336,37.666666666666664
RK3568,14,probe_only_flipped,5,3,37.0,36.333333333333336,37.333333333333336
RK3568,15,probe_only_flipped,5,3,38.333333333333336,37.0,38.666666666666664
RK3568,16,probe_only_flipped,5,3,38.333333333333336,37.666666666666664,39.666666666666664
RK3568,17,probe_only_flipped,5,3,38.0,37.666666666666664,39.0
RK3568,18,probe_only_flipped,5,3,38.666666666666664,38.0,39.333333333333336
RK3568,19,probe_only_flipped,5,3,38.333333333333336,37.666666666666664,39.0
RK3568,20,probe_only_flipped,5,3,38.666666666666664,38.0,39.0
RK3568,21,probe_only_flipped,5,3,39.0,37.666666666666664,39.0
RK3568,22,probe_only_flipped,4,3,38.33333333333333,37.333333333333336,38.666666666666664
