platform,color_bit0,color_bit1,stimulus_color,probe_color,n_allocations,passes_per_allocation,median_run_mean_cycles,min_run_mean_cycles,max_run_mean_cycles,pooled_success_percent,pooled_successes,pooled_repetitions
RK3568,13,14,00,00,5,3,290.3333333333333,286.6666666666667,296.6666666666667,98.42666666666666,14764,15000
RK3568,13,14,00,01,5,3,38.333333333333336,37.666666666666664,38.333333333333336,0.013333333333333334,2,15000
RK3568,13,14,00,10,5,3,38.0,37.666666666666664,38.666666666666664,0.013333333333333334,2,15000
RK3568,13,14,00,11,5,3,38.0,37.666666666666664,39.0,0.02,3,15000
RK3568,13,14,01,00,5,3,38.333333333333336,37.666666666666664,39.0,0.006666666666666667,1,15000
RK3568,13,14,01,01,5,3,291.0,286.6666666666667,293.6666666666667,98.47333333333333,14771,15000
RK3568,13,14,01,10,5,3,38.0,38.0,38.666666666666664,0.013333333333333334,2,15000
RK3568,13,14,01,11,5,3,38.333333333333336,37.333333333333336,39.0,0.013333333333333334,2,15000
RK3568,13,14,10,00,5,3,38.333333333333336,37.333333333333336,39.0,0.02,3,15000
RK3568,13,14,10,01,5,3,38.0,37.666666666666664,38.333333333333336,0.02,3,15000
RK3568,13,14,10,10,5,3,287.6666666666667,280.3333333333333,293.0,97.92666666666666,14689,15000
RK3568,13,14,10,11,5,3,38.666666666666664,37.666666666666664,38.666666666666664,0.02666666666666667,4,15000
RK3568,13,14,11,00,5,3,38.333333333333336,38.0,39.0,0.0,0,15000
RK3568,13,14,11,01,5,3,38.333333333333336,38.0,39.0,0.02666666666666667,4,15000
RK3568,13,14,11,10,5,3,38.0,38.0,38.333333333333336,0.006666666666666667,1,15000
RK3568,13,14,11,11,5,3,290.0,283.6666666666667,293.3333333333333,98.0,14700,15000
