platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3588,stress,32M,Baseline,5,13.54,12.71,14.58,12.71,14.58,run-level percentile bootstrap
RK3588,stress,64M,Baseline,5,13.46,13,14.75,13,14.75,run-level percentile bootstrap
RK3588,stress,128M,Baseline,5,14.13,12.92,14.88,12.92,14.88,run-level percentile bootstrap
RK3588,stress,256M,Baseline,5,13.63,12.83,15.13,12.83,15.13,run-level percentile bootstrap
RK3588,stress,128K,WP,5,3.92,3.13,4.58,3.13,4.58,run-level percentile bootstrap
RK3588,stress,256K,WP,5,4.17,3.17,5.08,3.17,5.08,run-level percentile bootstrap
RK3588,stress,512K,WP,5,4.17,3.92,5.25,3.92,5.25,run-level percentile bootstrap
RK3588,stress,1M,WP,5,4.25,4.04,5.5,4.04,5.5,run-level percentile bootstrap
RK3588,stress,2M,WP,5,4.54,3.46,5.33,3.46,5.33,run-level percentile bootstrap
RK3588,stress,4M,WP,5,5.54,4.75,6.13,4.75,6.13,run-level percentile bootstrap
RK3588,stress,8M,WP,5,11.58,10.54,12.92,10.54,12.92,run-level percentile bootstrap
RK3588,stress,16M,WP,5,13.25,11.75,15.54,11.75,15.54,run-level percentile bootstrap
RK3588,stress,32M,WP,5,12.71,8.08,13.58,8.08,13.58,run-level percentile bootstrap
RK3588,stress,64M,WP,5,12.63,12.25,14.21,12.25,14.21,run-level percentile bootstrap
RK3588,stress,128M,WP,5,12.54,11.5,13.42,11.5,13.42,run-level percentile bootstrap
RK3588,stress,256M,WP,5,13.88,12.13,15.46,12.13,15.46,run-level percentile bootstrap
RK3588,stress,128K,SP,5,4.79,4.17,5.42,4.17,5.42,run-level percentile bootstrap
RK3588,stress,256K,SP,5,4.13,3.75,4.46,3.75,4.46,run-level percentile bootstrap
RK3588,stress,512K,SP,5,4.63,4.25,5.42,4.25,5.42,run-level percentile bootstrap
RK3588,stress,1M,SP,5,4.46,3.92,5.25,3.92,5.25,run-level percentile bootstrap
RK3588,stress,2M,SP,5,4.63,4.42,5.38,4.42,5.38,run-level percentile bootstrap
RK3588,stress,4M,SP,5,5.08,4.79,5.54,4.79,5.54,run-level percentile bootstrap
RK3588,stress,8M,SP,5,11.04,10.13,12.54,10.13,12.54,run-level percentile bootstrap
RK3588,stress,16M,SP,5,11.71,11.29,13.25,11.29,13.25,run-level percentile bootstrap
RK3588,stress,32M,SP,5,11.29,10.96,13.83,10.96,13.83,run-level percentile bootstrap
RK3588,stress,64M,SP,5,11.42,10.33,11.92,10.33,11.92,run-level percentile bootstrap
RK3588,stress,128M,SP,5,11.5,10.63,12,10.63,12,run-level percentile bootstrap
RK3588,stress,256M,SP,5,11.67,10.67,12.63,10.67,12.63,run-level percentile bootstrap
RK3588,stress,128K,C3,5,2.38,2.04,2.5,2.04,2.5,run-level percentile bootstrap
RK3588,stress,256K,C3,5,2.13,2.04,2.38,2.04,2.38,run-level percentile bootstrap
RK3588,stress,512K,C3,5,2.08,1.96,3.96,1.96,3.96,run-level percentile bootstrap
RK3588,stress,1M,C3,5,2.13,2,2.33,2,2.33,run-level percentile bootstrap
RK3588,stress,2M,C3,5,2.17,2.04,3.33,2.04,3.33,run-level percentile bootstrap
RK3588,stress,4M,C3,5,2.25,2,2.42,2,2.42,run-level percentile bootstrap
RK3588,stress,8M,C3,5,4,3.88,4.29,3.88,4.29,run-level percentile bootstrap
RK3588,stress,16M,C3,5,5.92,5.29,6.13,5.29,6.13,run-level percentile bootstrap
RK3588,stress,32M,C3,5,6.08,5.67,6.71,5.67,6.71,run-level percentile bootstrap
