# module,rk3588_sf_bitscan
# schema_version,18
# experiment_run_id,rk3568_bit_item_run01
# experiment,owned_per_bit_same_cross_item_sweep
# scan_order,7
# allocation_scope,one_module_load_one_fresh_owned_page_pool
# owned_pages_only,true
# computed_physical_addresses_are_lookup_keys_only,true
# arbitrary_physical_address_mapping,false
# counter,pmccntr_cycles
# counter_calibration_delta,266
# counter_calibration_method,civac_then_single_touch_of_one_owned_line
# counter_calibration_usage,counter_sanity_check_only_not_subtracted_from_probe_ticks
# probe_pmu_events_available,true
# ll_cache_events_available,true
# l1d_tlb_refill_event_available,true
# probe_pmu_event_l1d_tlb_refill,0x05
# probe_pmu_event_ll_cache_rd,0x36
# probe_pmu_event_ll_cache_miss_rd,0x37
# probe_pmu_event_source,Arm_architected_common_event_numbers
# probe_cpu,3
# stimulus_cpus,2
# same_core_binding,probe_and_candidate_accesses_execute_on_probe_cpu
# cross_core_binding,probe_executes_on_probe_cpu_and_candidate_accesses_execute_on_stimulus_cpus
# pool_pages,329376
# candidate_target_masked,0x138e900
# addrmask,0x1ffffff
# owned_candidate_pool,23
# stimulus_mask,0xfffff
# initial_candidate_items,20
# target_candidate_items,16
# active_candidates,16
# candidate_selection,online_random_validated
# candidate_search_attempt,1
# search_groups,2000
# search_repetitions,20
# baseline_repetitions,1000
# reduction_repetitions,20
# reduction_validation_repetitions,200
# scan_passes,5
# color_bit0,16
# color_bit1,17
# color_repetitions,1000
# base_probe_pa,0x3938e900
# bit_first,0
# bit_last,24
# fill_rounds,100
# fill_rounds_scope,candidate_search_reduction_validation_and_bit_tests
# bit_repetitions,100
# item_sweep_first,0
# item_sweep_last,20
# item_count_definition,stimulus_addresses_excluding_probe
# item_sweep_repetitions,100
# item_sweep_rounds,100
# item_sweep_rounds_scope,effective_values_for_item_sweep_each_row_records_one_as_fill_rounds
# item_sweep_order,descending_from_item_sweep_last_to_item_sweep_first
# bit_item_sweep_conditions,same_original_matching;same_probe_only_flipped;cross_original_matching;cross_probe_only_flipped
# bit_item_sweep_candidate_order,one_random_permutation_per_scan_pass_with_nested_prefixes_within_each_pass
# attribution_control_repetitions,100
# attribution_cross_only_bits,false
# joint_rescue_mask,0x30000
# pair_screen_repetitions,100
# pair_screen_percent,80
# single_max_percent,20
# triple_screen_repetitions,100
# triple_screen_percent,80
# pair_max_percent,20
# trigger_threshold,150
# stable_percent,95
# latency_bins,0..89;90..129;130..219;220..inf
# cache_line_bytes,64
# intra_line_negative_control_bits,0..5
# cross_bit_conditions,original_matching;probe_only_flipped
# joint_bit_conditions,joint_group_flipped_for_joint_rescue_mask
# selector_rescue_rule,original_and_joint_at_least_stable_percent_and_probe_only_at_most_single_max_percent
# selection_validation,matching_candidate_set_before_scan
# unrelated_control,same_owned_page_control_bit_not_in_changed_mask
# idle_control,stimulus_handshake_with_zero_address_accesses
record,scan_pass,test_bit,test_bit2,test_bit3,variant,available,lookup_status,active_candidates,fill_rounds,successes,repetitions,success_percent,stable,mean_ticks,median_ticks,p90_ticks,min_ticks,max_ticks,probe_l1d_refill_total,probe_l1d_tlb_refill_total,probe_l2d_refill_total,probe_bus_access_total,probe_l1d_refill_samples,probe_l1d_tlb_refill_samples,probe_l2d_refill_samples,probe_ll_cache_rd_total,probe_ll_cache_miss_total,probe_ll_cache_rd_samples,probe_ll_cache_miss_samples,latency_lt_bin1,latency_bin1_bin2,latency_bin2_bin3,latency_ge_bin3,probe_pa,paired_probe_pa,changed_mask
candidate_reduction,0,1,64,64,drop_short_20_to_19,1,removed_owned_candidate,19,100,20,20,100,1,259,259,263,254,265,22,0,20,125,20,0,20,31,20,20,20,0,0,0,20,0x4538e900,0x3938e900,0x0
candidate_reduction,0,1,64,64,drop_validation_20_to_19,1,removed_owned_candidate,19,100,200,200,100,1,298,259,296,233,926,219,0,200,1002,200,0,200,250,200,200,200,0,0,0,200,0x4538e900,0x3938e900,0x0
candidate_reduction,0,2,64,64,drop_short_19_to_18,1,removed_owned_candidate,18,100,20,20,100,1,366,260,710,257,1013,25,0,20,119,20,0,20,29,20,20,20,0,0,0,20,0x5d38e900,0x3938e900,0x0
candidate_reduction,0,2,64,64,drop_validation_19_to_18,1,removed_owned_candidate,18,100,200,200,100,1,285,259,266,227,929,215,0,199,987,200,0,199,247,199,200,199,0,0,0,200,0x5d38e900,0x3938e900,0x0
candidate_reduction,0,3,64,64,drop_short_18_to_17,1,removed_owned_candidate,17,100,20,20,100,1,259,259,263,254,267,21,0,20,112,20,0,20,28,20,20,20,0,0,0,20,0x6538e900,0x3938e900,0x0
candidate_reduction,0,3,64,64,drop_validation_18_to_17,1,removed_owned_candidate,17,100,200,200,100,1,295,260,269,230,913,219,0,199,1000,200,0,199,248,199,200,199,0,0,0,200,0x6538e900,0x3938e900,0x0
candidate_reduction,0,4,64,64,drop_short_17_to_16,1,removed_owned_candidate,16,100,19,20,95,1,276,259,263,27,711,19,0,19,86,19,0,19,21,19,19,19,1,0,0,19,0x1d38e900,0x3938e900,0x0
candidate_reduction,0,4,64,64,drop_validation_17_to_16,1,removed_owned_candidate,16,100,200,200,100,1,299,260,290,227,927,209,0,200,956,200,0,200,238,200,200,200,0,0,0,200,0x1d38e900,0x3938e900,0x0
selection_validation,0,0,64,64,reduced_matching,1,owned_exact,16,100,992,1000,99,1,295,260,295,27,1020,1043,0,989,4503,993,0,989,1127,989,993,989,8,0,0,992,0x3938e900,0x3938e900,0x0
bit_item_sweep,0,20,64,64,probe_only_flipped,0,flipped_probe_not_owned,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x3928e900,0x3938e900,0x100000
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,20,100,100,100,100,1,549,531,970,316,1225,101,200,172,2305,100,100,100,375,172,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,20,100,100,100,100,1,577,535,1034,320,1373,103,200,173,1879,100,100,100,272,173,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,20,100,100,100,100,1,319,261,469,253,1017,126,0,104,825,100,0,99,207,104,100,99,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,20,100,100,100,100,1,288,262,268,232,1028,120,0,99,582,100,0,99,145,99,100,99,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,19,100,100,100,100,1,508,531,567,317,1193,101,200,174,2301,100,100,100,373,174,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,19,100,100,100,100,1,549,534,787,317,1242,102,200,171,1846,100,100,100,266,171,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,19,100,100,100,100,1,287,261,267,253,850,121,0,100,723,100,0,100,180,100,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,19,100,100,100,100,1,309,262,395,254,946,123,0,98,608,100,0,98,152,98,100,98,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,18,100,100,100,100,1,537,530,570,317,1095,103,200,178,2303,100,100,100,375,178,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,18,100,100,100,100,1,486,532,576,320,1177,102,200,163,1824,100,100,100,254,163,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,18,100,98,100,98,1,305,262,387,27,945,118,0,98,727,100,0,98,181,98,100,98,2,0,0,98,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,18,100,97,100,97,1,285,262,268,29,835,113,0,97,556,97,0,97,138,97,98,97,3,0,0,97,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,17,100,100,100,100,1,516,506,582,314,1202,102,200,168,2313,100,100,100,376,168,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,17,100,100,100,100,1,490,377,930,315,1258,101,200,142,1821,100,100,100,256,142,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,17,100,98,100,98,1,302,261,272,27,1036,110,0,98,679,98,0,98,169,98,99,98,1,1,0,98,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,17,100,98,100,98,1,313,262,490,29,1016,109,0,99,527,98,0,98,130,99,98,98,2,0,0,98,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,16,100,100,100,100,1,446,325,544,297,1270,101,200,131,2072,100,100,99,320,131,100,99,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,16,100,100,100,100,1,393,325,513,297,1235,102,200,116,1740,100,100,98,238,116,100,98,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,16,100,98,100,98,1,310,261,505,27,945,117,0,98,649,99,0,98,161,98,99,98,2,0,0,98,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,16,100,97,100,97,1,298,263,328,29,868,109,0,99,497,97,0,97,122,99,97,97,3,0,0,97,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,15,100,100,100,100,1,440,324,669,286,1202,103,200,127,2028,100,100,100,311,127,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,15,100,100,100,100,1,430,328,551,295,1141,102,200,132,1775,100,100,100,247,132,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,15,100,77,100,77,0,214,232,261,27,906,87,0,77,374,80,0,77,93,77,80,77,23,0,0,77,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,15,100,80,100,80,0,225,235,268,29,1023,95,0,80,524,83,0,80,130,80,88,80,20,0,0,80,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,14,100,100,100,100,1,385,320,702,274,1065,100,223,105,1845,100,100,100,280,105,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,14,100,100,100,100,1,384,325,514,289,978,102,210,113,1648,100,100,100,227,113,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,14,100,66,100,66,0,182,230,239,27,949,83,0,66,490,74,0,66,122,66,77,66,34,0,0,66,0x3938e900,0x3938e901,0x1
