platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3588,stress,2M,WP,1,5.33,,,5.33,5.33,not shown (single run; n<5)
RK3588,stress,4M,WP,1,5.29,,,5.29,5.29,not shown (single run; n<5)
RK3588,stress,8M,WP,1,13.17,,,13.17,13.17,not shown (single run; n<5)
RK3588,stress,16M,WP,1,17.25,,,17.25,17.25,not shown (single run; n<5)
RK3588,stress,32M,WP,1,15.75,,,15.75,15.75,not shown (single run; n<5)
RK3588,stress,64M,WP,1,18.25,,,18.25,18.25,not shown (single run; n<5)
RK3588,stress,128M,WP,1,19.63,,,19.63,19.63,not shown (single run; n<5)
RK3588,stress,256M,WP,1,17.58,,,17.58,17.58,not shown (single run; n<5)
RK3588,stress,128K,SP,1,4.33,,,4.33,4.33,not shown (single run; n<5)
RK3588,stress,256K,SP,1,4.71,,,4.71,4.71,not shown (single run; n<5)
RK3588,stress,512K,SP,1,4.54,,,4.54,4.54,not shown (single run; n<5)
RK3588,stress,1M,SP,1,5,,,5,5,not shown (single run; n<5)
RK3588,stress,2M,SP,1,5.08,,,5.08,5.08,not shown (single run; n<5)
RK3588,stress,4M,SP,1,5.17,,,5.17,5.17,not shown (single run; n<5)
RK3588,stress,8M,SP,1,14,,,14,14,not shown (single run; n<5)
RK3588,stress,16M,SP,1,19.25,,,19.25,19.25,not shown (single run; n<5)
RK3588,stress,32M,SP,1,18.88,,,18.88,18.88,not shown (single run; n<5)
RK3588,stress,64M,SP,1,19.5,,,19.5,19.5,not shown (single run; n<5)
RK3588,stress,128M,SP,1,19.04,,,19.04,19.04,not shown (single run; n<5)
RK3588,stress,256M,SP,1,19.25,,,19.25,19.25,not shown (single run; n<5)
RK3588,stress,128K,C3,1,2.67,,,2.67,2.67,not shown (single run; n<5)
RK3588,stress,256K,C3,1,2.67,,,2.67,2.67,not shown (single run; n<5)
RK3588,stress,512K,C3,1,2.79,,,2.79,2.79,not shown (single run; n<5)
RK3588,stress,1M,C3,1,2.63,,,2.63,2.63,not shown (single run; n<5)
RK3588,stress,2M,C3,1,2.75,,,2.75,2.75,not shown (single run; n<5)
RK3588,stress,4M,C3,1,3.21,,,3.21,3.21,not shown (single run; n<5)
RK3588,stress,8M,C3,1,7,,,7,7,not shown (single run; n<5)
RK3588,stress,16M,C3,1,8.5,,,8.5,8.5,not shown (single run; n<5)
RK3588,stress,32M,C3,1,7.96,,,7.96,7.96,not shown (single run; n<5)
RK3588,stress,64M,C3,1,9.21,,,9.21,9.21,not shown (single run; n<5)
RK3588,stress,128M,C3,1,8.29,,,8.29,8.29,not shown (single run; n<5)
RK3588,stress,256M,C3,1,7.88,,,7.88,7.88,not shown (single run; n<5)
RK3568,idle,128K,Baseline,1,30.71,,,30.71,30.71,not shown (single run; n<5)
RK3568,idle,256K,Baseline,1,19.08,,,19.08,19.08,not shown (single run; n<5)
RK3568,idle,512K,Baseline,1,23.38,,,23.38,23.38,not shown (single run; n<5)
RK3568,idle,1M,Baseline,1,34.92,,,34.92,34.92,not shown (single run; n<5)
RK3568,idle,2M,Baseline,1,51.63,,,51.63,51.63,not shown (single run; n<5)
RK3568,idle,4M,Baseline,1,62.79,,,62.79,62.79,not shown (single run; n<5)
RK3568,idle,8M,Baseline,1,74.46,,,74.46,74.46,not shown (single run; n<5)
RK3568,idle,16M,Baseline,1,56.38,,,56.38,56.38,not shown (single run; n<5)
RK3568,idle,32M,Baseline,1,60.58,,,60.58,60.58,not shown (single run; n<5)
RK3568,idle,64M,Baseline,1,48,,,48,48,not shown (single run; n<5)
RK3568,idle,128M,Baseline,1,50.92,,,50.92,50.92,not shown (single run; n<5)
RK3568,idle,256M,Baseline,1,51.75,,,51.75,51.75,not shown (single run; n<5)
RK3568,idle,128K,WP,1,5.21,,,5.21,5.21,not shown (single run; n<5)
RK3568,idle,256K,WP,1,5.88,,,5.88,5.88,not shown (single run; n<5)
RK3568,idle,512K,WP,1,7.5,,,7.5,7.5,not shown (single run; n<5)
RK3568,idle,1M,WP,1,13.83,,,13.83,13.83,not shown (single run; n<5)
RK3568,idle,2M,WP,1,10.54,,,10.54,10.54,not shown (single run; n<5)
RK3568,idle,4M,WP,1,17.08,,,17.08,17.08,not shown (single run; n<5)
RK3568,idle,8M,WP,1,17.08,,,17.08,17.08,not shown (single run; n<5)
RK3568,idle,16M,WP,1,24.5,,,24.5,24.5,not shown (single run; n<5)
RK3568,idle,32M,WP,1,22.38,,,22.38,22.38,not shown (single run; n<5)
RK3568,idle,64M,WP,1,26.58,,,26.58,26.58,not shown (single run; n<5)
RK3568,idle,128M,WP,1,20.58,,,20.58,20.58,not shown (single run; n<5)
RK3568,idle,256M,WP,1,28.83,,,28.83,28.83,not shown (single run; n<5)
