stimulus_items,condition,allocations,median_latency,min_latency,max_latency,median_l1d_refill,min_l1d_refill,max_l1d_refill,median_tlb_refill,min_tlb_refill,max_tlb_refill,median_ll_miss,min_ll_miss,max_ll_miss,median_l1d_refill_events_per_window,min_l1d_refill_events_per_window,max_l1d_refill_events_per_window,median_tlb_refill_events_per_window,min_tlb_refill_events_per_window,max_tlb_refill_events_per_window,median_ll_miss_events_per_window,min_ll_miss_events_per_window,max_ll_miss_events_per_window
6,cross_candidate,5,29.0,29.0,30.0,11.6,7.2,15.6,0.0,0.0,0.0,0.1,0.0,0.4,0.116,0.072,0.156,0.0,0.0,0.0,0.001,0.0,0.005
6,cross_baseline,5,30.0,29.0,30.0,15.9,7.0,16.6,0.0,0.0,0.0,0.0,0.0,0.2,0.159,0.07,0.166,0.0,0.0,0.0,0.0,0.0,0.004
7,same_candidate,5,258.0,254.0,265.0,100.0,100.0,100.0,0.0,0.0,0.0,99.9,99.9,100.0,1.007,1.003,1.054,0.0,0.0,0.0,1.0,0.999,1.0
7,same_baseline,5,41.0,40.0,41.0,0.6,0.2,4.7,0.0,0.0,0.0,0.1,0.1,0.2,0.006,0.002,0.047,0.0,0.0,0.0,0.001,0.001,0.002
7,cross_candidate,5,29.0,29.0,30.0,13.9,6.5,22.4,0.0,0.0,0.0,0.1,0.0,0.4,0.139,0.065,0.224,0.0,0.0,0.0,0.003,0.0,0.004
7,cross_baseline,5,31.0,31.0,32.0,19.7,9.7,25.8,0.0,0.0,0.0,0.0,0.0,0.4,0.197,0.097,0.258,0.0,0.0,0.0,0.0,0.0,0.004
11,same_candidate,5,250.0,249.0,255.0,87.6,87.2,94.9,0.0,0.0,0.0,85.7,84.2,87.5,0.902,0.887,1.291,0.0,0.0,0.0,0.857,0.844,0.878
11,same_baseline,5,50.0,50.0,50.0,0.9,0.5,10.6,0.0,0.0,0.0,0.1,0.1,0.7,0.009,0.005,0.106,0.0,0.0,0.0,0.002,0.001,0.007
11,cross_candidate,5,32.0,32.0,41.0,30.7,14.8,44.0,0.0,0.0,0.0,0.1,0.0,3.5,0.307,0.148,0.44,0.0,0.0,0.0,0.004,0.0,0.038
11,cross_baseline,5,42.0,42.0,42.0,44.4,25.7,66.3,0.0,0.0,0.0,0.2,0.0,0.3,0.444,0.257,0.663,0.0,0.0,0.0,0.002,0.0,0.004
