bit,stimulus_items,variant,median_mean_cycles,min_mean_cycles,max_mean_cycles,passes
1,4,cross_original_matching,27.0,27.0,27.0,5
1,4,cross_probe_only_flipped,29.0,29.0,30.0,5
1,4,same_original_matching,53.0,49.0,55.0,5
1,4,same_probe_only_flipped,58.0,56.0,196.0,5
1,5,cross_original_matching,27.0,27.0,30.0,5
1,5,cross_probe_only_flipped,29.0,29.0,30.0,5
1,5,same_original_matching,55.0,50.0,60.0,5
1,5,same_probe_only_flipped,65.0,52.0,97.0,5
1,6,cross_original_matching,28.0,27.0,29.0,5
1,6,cross_probe_only_flipped,30.0,30.0,31.0,5
1,6,same_original_matching,77.0,68.0,96.0,5
1,6,same_probe_only_flipped,144.0,128.0,177.0,5
1,7,cross_original_matching,29.0,27.0,45.0,5
1,7,cross_probe_only_flipped,33.0,29.0,37.0,5
1,7,same_original_matching,272.0,248.0,291.0,5
1,7,same_probe_only_flipped,259.0,251.0,283.0,5
1,8,cross_original_matching,37.0,28.0,48.0,5
1,8,cross_probe_only_flipped,34.0,30.0,50.0,5
1,8,same_original_matching,285.0,262.0,304.0,5
1,8,same_probe_only_flipped,294.0,279.0,301.0,5
1,9,cross_original_matching,52.0,32.0,75.0,5
1,9,cross_probe_only_flipped,46.0,34.0,79.0,5
1,9,same_original_matching,280.0,268.0,295.0,5
1,9,same_probe_only_flipped,288.0,276.0,311.0,5
1,10,cross_original_matching,52.0,36.0,97.0,5
1,10,cross_probe_only_flipped,50.0,37.0,98.0,5
1,10,same_original_matching,284.0,275.0,301.0,5
1,10,same_probe_only_flipped,293.0,286.0,321.0,5
1,11,cross_original_matching,60.0,45.0,98.0,5
1,11,cross_probe_only_flipped,48.0,39.0,95.0,5
1,11,same_original_matching,279.0,264.0,282.0,5
1,11,same_probe_only_flipped,293.0,271.0,295.0,5
1,12,cross_original_matching,72.0,33.0,104.0,5
1,12,cross_probe_only_flipped,58.0,33.0,113.0,5
1,12,same_original_matching,307.0,289.0,318.0,5
1,12,same_probe_only_flipped,323.0,316.0,327.0,5
1,13,cross_original_matching,80.0,54.0,117.0,5
1,13,cross_probe_only_flipped,68.0,59.0,82.0,5
1,13,same_original_matching,350.0,319.0,359.0,5
1,13,same_probe_only_flipped,350.0,316.0,361.0,5
1,14,cross_original_matching,177.0,132.0,251.0,5
1,14,cross_probe_only_flipped,203.0,114.0,247.0,5
1,14,same_original_matching,353.0,324.0,365.0,5
1,14,same_probe_only_flipped,359.0,339.0,378.0,5
1,15,cross_original_matching,222.0,185.0,263.0,5
1,15,cross_probe_only_flipped,234.0,212.0,268.0,5
1,15,same_original_matching,376.0,327.0,432.0,5
1,15,same_probe_only_flipped,381.0,356.0,440.0,5
1,16,cross_original_matching,297.0,285.0,301.0,5
1,16,cross_probe_only_flipped,299.0,282.0,320.0,5
1,16,same_original_matching,367.0,344.0,422.0,5
1,16,same_probe_only_flipped,375.0,361.0,418.0,5
1,17,cross_original_matching,300.0,279.0,305.0,5
1,17,cross_probe_only_flipped,289.0,267.0,320.0,5
1,17,same_original_matching,390.0,341.0,484.0,5
1,17,same_probe_only_flipped,380.0,359.0,462.0,5
1,18,cross_original_matching,290.0,289.0,304.0,5
1,18,cross_probe_only_flipped,305.0,295.0,320.0,5
1,18,same_original_matching,521.0,372.0,559.0,5
1,18,same_probe_only_flipped,487.0,382.0,517.0,5
